Disaster Group,Disaster Subgroup,Disaster Type,ISO,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damages ('000 US$),Magnitude,Magnitude Scale
Natural,Hydrological,Flood,IDN,-5.17,120.11,2006,6.0,19.0,2006,6.0,23.0,236.0,56.0,28505.0,670.0,29231.0,55200.0,3100.0,Km2
Natural,Geophysical,Earthquake,IDN,-7.961,110.446,2006,5.0,26.0,2006,5.0,26.0,5778.0,137883.0,2340745.0,699295.0,3177923.0,3100000.0,6.0,Richter
Natural,Meteorological,Storm,VNM,16.68,107.21,2006,9.0,27.0,2006,10.0,6.0,71.0,525.0,1368720.0,98680.0,1467925.0,624000.0,148.0,Kph
Natural,Meteorological,Storm,MDG,-14.84,49.94,2007,3.0,15.0,2007,3.0,17.0,80.0,16.0,203182.0,12000.0,215198.0,240000.0,230.0,Kph
Natural,Geophysical,Earthquake,IDN,-4.438,101.367,2007,9.0,12.0,2007,9.0,12.0,25.0,82.0,422685.0,36800.0,459567.0,500000.0,8.0,Richter
Natural,Geophysical,Earthquake,CHN,26.241,101.889,2008,8.0,30.0,2008,8.0,30.0,40.0,589.0,950000.0,50000.0,1000589.0,492000.0,6.0,Richter
Natural,Hydrological,Flood,PRK,38.53,126.61,2007,8.0,7.0,2007,8.0,25.0,610.0,518.0,1000000.0,170000.0,1170518.0,300000.0,29480.0,Km2
Natural,Meteorological,Storm,VNM,17.07,106.9,2007,9.0,29.0,2007,10.0,12.0,96.0,150.0,637755.0,47525.0,685430.0,191000.0,117.0,Kph
Natural,Hydrological,Flood,SDN,12.91,33.77,2007,7.0,3.0,2007,10.0,8.0,150.0,335.0,365000.0,200000.0,565335.0,300000.0,1591000.0,Km2
Natural,Meteorological,Storm,MDG,-18.69,46.9,2008,2.0,17.0,2008,3.0,3.0,93.0,580.0,332391.0,191182.0,524153.0,60000.0,230.0,Kph
Natural,Geophysical,Earthquake,CHN,25.632,101.095,2009,7.0,9.0,2009,7.0,9.0,1.0,336.0,15000.0,50000.0,65336.0,315000.0,6.0,Richter
Natural,Geophysical,Earthquake,CHL,-36.122,-72.898,2010,2.0,27.0,2010,2.0,27.0,562.0,10334.0,1861222.0,800000.0,2671556.0,30000000.0,9.0,Richter
Natural,Geophysical,Earthquake,CHN,30.268,105.668,2010,1.0,30.0,2010,1.0,30.0,1.0,15.0,10000.0,500.0,10515.0,4400.0,5.0,Richter
